"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Automation Exercise","Test Cases Page","Параметризованная проверка структуры тест-кейсов","0","0","9","0","0"
"Automation Exercise","Test Cases Page","Проверка видимости списка всех тест-кейсов","3","0","0","0","0"
